Date,1 Mo,1.5 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr
1993-01-04,,,,3.19,,3.37,3.56,4.48,5.03,5.9,6.33,6.6,,7.33
1993-01-05,,,,3.18,,3.36,3.58,4.48,5.0,5.9,6.32,6.61,,7.33
1993-01-06,,,,3.17,,3.35,3.62,4.52,5.06,5.94,6.36,6.63,,7.34
1993-01-07,,,,3.19,,3.38,3.7,4.64,5.17,6.05,6.49,6.76,,7.45
1993-01-08,,,,3.13,,3.3,3.56,4.5,5.06,5.97,6.44,6.75,,7.47
1993-01-11,,,,3.12,,3.28,3.54,4.48,5.01,5.93,6.4,6.71,,7.47
1993-01-12,,,,3.09,,3.24,3.54,4.48,5.03,5.95,6.41,6.72,,7.48
1993-01-13,,,,3.06,,3.24,3.51,4.46,5.02,5.93,6.36,6.71,,7.45
1993-01-14,,,,3.04,,3.23,3.48,4.4,4.96,5.88,6.3,6.65,,7.41
1993-01-15,,,,3.0,,3.17,3.42,4.31,4.88,5.8,6.24,6.6,,7.35
1993-01-19,,,,3.1,,3.23,3.48,4.39,4.91,5.82,6.23,6.59,,7.31
1993-01-20,,,,3.08,,3.22,3.51,4.41,4.95,5.85,6.26,6.61,,7.32
1993-01-21,,,,3.05,,3.2,3.48,4.36,4.91,5.83,6.23,6.6,,7.31
1993-01-22,,,,3.03,,3.15,3.41,4.3,4.85,5.77,6.18,6.57,,7.3
1993-01-25,,,,3.02,,3.17,3.41,4.26,4.8,5.71,6.11,6.48,,7.22
1993-01-26,,,,3.01,,3.18,3.45,4.3,4.83,5.75,6.13,6.5,,7.26
1993-01-27,,,,2.97,,3.15,3.41,4.24,4.8,5.68,6.1,6.48,,7.25
1993-01-28,,,,2.96,,3.14,3.38,4.2,4.73,5.61,6.05,6.44,,7.23
1993-01-29,,,,2.96,,3.16,3.39,4.2,4.72,5.57,6.0,6.39,,7.21
1993-02-01,,,,3.01,,3.17,3.4,4.19,4.69,5.55,5.97,6.38,,7.21
1993-02-02,,,,3.02,,3.21,3.43,4.25,4.76,5.63,6.04,6.46,,7.25
1993-02-03,,,,2.99,,3.21,3.44,4.27,4.77,5.62,6.04,6.45,,7.23
1993-02-04,,,,2.96,,3.18,3.44,4.19,4.68,5.53,5.98,6.39,,7.19
1993-02-05,,,,2.96,,3.15,3.36,4.07,4.58,5.42,5.88,6.32,,7.17
1993-02-08,,,,3.0,,3.18,3.43,4.16,4.64,5.49,5.93,6.37,,7.18
1993-02-09,,,,2.99,,3.19,3.47,4.2,4.72,5.55,5.98,6.41,,7.2
1993-02-10,,,,3.0,,3.22,3.5,4.27,4.79,5.63,6.06,6.4,,7.26
1993-02-11,,,,2.98,,3.18,3.44,4.2,4.72,5.58,6.02,6.37,,7.15
